2P,2PA,2PCT,3P,3PA,3PCT,AST,Age,BLK,DRB,FG,FGA,FGPCT,FT,FTA,FTPCT,GP,GS,MPG,Name,ORB,PF,PTS,STL,TOV,TRB,eFG
6.3,13.2,.480,1.1,3.9,.290,6.2,24,0.1,2.4,7.5,17.1,.436,3.4,4.0,.849,67,67,31.0,Dennis Schroder,0.7,2.2,19.4,1.1,2.7,3.1,.469
2.9,6.3,.461,2.1,5.6,.385,2.6,23,0.5,4.1,5.1,11.9,.426,1.9,2.2,.844,82,82,30.0,Taurean Waller-Prince,0.6,2.0,14.1,1.0,2.3,4.7,.516
2.7,6.2,.438,1.7,4.2,.394,3.5,28,0.7,3.4,4.4,10.4,.420,2.5,3.1,.796,65,65,27.5,Kent Bazemore,0.4,2.3,12.9,1.5,2.4,3.8,.500
3.1,6.1,.511,1.0,4.0,.250,1.9,25,0.1,4.0,4.1,10.1,.408,1.5,1.9,.759,15,11,26.9,Damion Lee,0.7,1.7,10.7,1.3,0.9,4.7,.457
2.7,5.0,.532,1.3,3.7,.359,1.1,30,0.4,3.8,4.0,8.7,.459,1.6,2.0,.800,46,40,25.5,Ersan Ilyasova,1.6,2.0,10.9,1.0,0.9,5.5,.535
3.2,5.4,.595,0.8,2.3,.355,1.5,28,0.8,6.3,4.0,7.7,.524,1.1,1.4,.779,62,46,24.9,Dewayne Dedmon,1.6,2.6,10.0,0.6,1.4,7.9,.577
4.0,6.7,.598,0.2,0.6,.340,1.3,20,1.1,4.9,4.2,7.4,.576,1.8,2.5,.715,74,26,24.1,John Collins,2.4,2.9,10.5,0.6,1.4,7.3,.591
2.1,4.6,.451,1.8,4.8,.372,2.0,31,0.1,1.7,3.8,9.3,.411,1.9,2.1,.927,52,1,23.3,Marco Belinelli,0.3,0.8,11.4,0.9,1.0,1.9,.506
1.5,2.7,.559,1.2,3.2,.371,1.0,26,0.5,3.3,2.7,5.9,.458,1.1,1.2,.919,53,7,20.0,Mike Muscala,1.1,1.5,7.6,0.6,0.8,4.3,.558
1.2,3.0,.391,0.9,2.3,.371,3.0,28,0.1,1.7,2.0,5.3,.382,1.4,1.7,.804,54,3,18.8,Malcolm Delaney,0.2,1.5,6.3,0.6,1.2,1.9,.463
1.6,3.8,.429,0.4,1.2,.367,1.9,23,0.5,2.5,2.0,4.9,.414,0.7,1.3,.576,26,3,17.5,DeAndre' Bembry,0.3,1.5,5.2,0.8,1.8,2.8,.457
2.1,4.6,.461,0.3,1.2,.250,3.1,23,0.1,1.1,2.4,5.8,.418,1.5,2.1,.702,67,9,17.4,Isaiah Taylor,0.3,1.7,6.6,0.5,1.3,1.4,.444
1.3,3.3,.393,1.3,3.6,.360,1.4,21,0.1,2.0,2.6,6.8,.376,0.8,1.1,.714,56,5,17.4,Tyler Dorsey,0.3,1.1,7.2,0.3,0.7,2.3,.470
1.9,3.3,.583,0.0,0.0,,0.8,29,0.5,2.7,1.9,3.3,.583,0.5,1.1,.450,55,35,16.7,Miles Plumlee,1.4,1.4,4.3,0.3,1.1,4.1,.583
1.8,3.7,.500,0.3,1.5,.222,1.2,22,0.2,2.3,2.2,5.2,.419,0.0,0.0,,6,0,16.3,Jaylen Morris,0.3,0.3,4.7,0.3,1.0,2.7,.452
0.8,1.5,.544,1.3,3.0,.441,0.7,28,0.1,2.1,2.2,4.5,.476,0.5,0.6,.773,37,9,15.4,Luke Babbitt,0.1,1.3,6.1,0.2,0.4,2.2,.622
